iter	Passed	Remaining
833	3244	645
834	3248	641
835	3252	638
836	3257	634
837	3261	630
838	3265	626
839	3269	622
840	3273	618
841	3277	614
842	3281	611
843	3285	607
844	3289	603
845	3293	599
846	3297	595
847	3301	591
848	3305	587
849	3309	583
850	3313	580
851	3317	576
852	3321	572
853	3325	568
854	3329	564
855	3333	560
856	3337	556
857	3341	553
858	3345	549
859	3350	545
860	3354	541
861	3358	537
862	3361	533
863	3366	529
864	3370	525
865	3374	522
866	3378	518
867	3382	514
868	3386	510
869	3390	506
870	3394	502
871	3398	498
872	3402	494
873	3406	491
874	3410	487
875	3414	483
876	3418	479
877	3422	475
878	3426	471
879	3430	467
880	3434	463
881	3437	459
882	3441	456
883	3445	452
884	3449	448
885	3453	444
886	3457	440
887	3461	436
888	3465	432
889	3469	428
890	3473	424
891	3476	420
892	3480	417
893	3483	412
894	3487	409
895	3491	405
896	3495	401
897	3499	397
898	3503	393
899	3507	389
900	3511	385
901	3515	381
902	3519	378
903	3523	374
904	3527	370
905	3530	366
906	3534	362
907	3538	358
908	3542	354
909	3546	350
910	3550	346
911	3555	343
912	3559	339
913	3563	335
914	3567	331
915	3571	327
916	3575	323
917	3579	319
918	3583	315
919	3587	311
920	3591	308
921	3594	304
922	3598	300
923	3601	296
924	3605	292
925	3609	288
926	3612	284
927	3616	280
928	3620	276
929	3624	272
930	3628	268
931	3632	265
932	3636	261
933	3640	257
934	3644	253
935	3648	249
936	3652	245
937	3655	241
938	3659	237
939	3663	233
940	3667	229
941	3671	226
942	3675	222
943	3679	218
944	3683	214
945	3687	210
946	3691	206
947	3695	202
948	3699	198
949	3703	194
950	3707	191
951	3711	187
952	3715	183
953	3719	179
954	3723	175
955	3727	171
956	3730	167
957	3734	163
958	3738	159
959	3742	155
960	3746	152
961	3750	148
962	3754	144
963	3758	140
964	3762	136
965	3766	132
966	3769	128
967	3773	124
968	3777	120
969	3781	116
970	3785	113
971	3789	109
972	3793	105
973	3797	101
974	3801	97
975	3805	93
976	3809	89
977	3813	85
978	3817	81
979	3821	77
980	3825	74
981	3829	70
982	3833	66
983	3837	62
984	3841	58
985	3845	54
986	3848	50
987	3852	46
988	3856	42
989	3860	38
990	3864	35
991	3868	31
992	3872	27
993	3876	23
994	3880	19
995	3882	15
996	3886	11
997	3890	7
998	3895	3
999	3899	0
